-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  47.6155   Longitude -122.2917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2009,1.21,2.02,2.85,4.47,5.76,6.01,6.65,4.92,4.16,2.16,1.13,1.13,3.55
ALLSKY_SFC_SW_DWN,2010,0.9,1.96,3.08,3.77,4.81,5.04,6.56,5.35,3.27,2.41,1.16,0.86,3.27
ALLSKY_SFC_SW_DWN,2011,0.99,1.76,2.42,3.84,4.71,5.1,5.73,5.58,4.09,2.1,1.24,0.97,3.22
ALLSKY_SFC_SW_DWN,2012,0.92,1.71,2.6,4.06,5.42,4.68,5.76,5.66,4.67,2.3,1.12,0.69,3.3
ALLSKY_SFC_SW_DWN,2013,1.13,1.63,2.92,4.0,5.07,5.69,6.88,5.07,3.27,2.61,1.34,0.96,3.39
ALLSKY_SFC_SW_DWN,2014,1.13,1.83,2.83,4.35,5.26,5.72,6.66,5.49,4.13,2.15,1.45,0.98,3.51
ALLSKY_SFC_SW_DWN,2015,1.19,1.94,3.12,4.65,5.43,7.16,6.62,5.48,3.88,2.14,1.38,0.72,3.65
ALLSKY_SFC_SW_DWN,2016,1.1,1.73,2.89,4.7,5.45,6.1,5.65,5.76,4.08,1.77,1.1,0.94,3.44
ALLSKY_SFC_SW_DWN,2017,1.3,1.75,2.26,3.67,5.55,5.94,7.16,5.94,3.85,2.66,0.95,1.04,3.52
ALLSKY_SFC_SW_DWN,2018,0.9,1.94,3.14,3.77,5.79,5.54,6.97,5.22,3.98,2.48,1.36,0.88,3.51
ALLSKY_SFC_SW_DWN,2019,1.21,1.79,3.78,4.01,5.55,6.12,5.48,5.21,3.26,2.54,1.58,0.7,3.45
ALLSKY_SFC_SW_DWN,2020,0.84,2.0,3.24,4.79,5.2,5.61,6.24,5.92,3.73,2.48,1.21,0.93,3.52
CLRSKY_SFC_SW_DWN,1984,2.0,3.09,4.99,6.88,8.16,8.21,7.7,6.77,5.17,3.59,2.29,1.67,5.05
CLRSKY_SFC_SW_DWN,1985,2.0,3.24,5.0,6.8,7.98,8.35,7.9,6.85,5.26,3.64,2.29,1.63,5.09
CLRSKY_SFC_SW_DWN,1986,1.99,3.15,4.96,6.77,7.95,8.42,7.66,6.83,5.13,3.5,2.24,1.62,5.03
CLRSKY_SFC_SW_DWN,1987,2.03,3.18,4.97,6.79,7.89,8.32,7.89,6.71,5.21,3.6,2.22,1.68,5.05
CLRSKY_SFC_SW_DWN,1988,2.02,3.08,4.98,6.68,7.82,8.26,7.63,6.68,5.16,3.44,2.27,1.63,4.97
CLRSKY_SFC_SW_DWN,1989,2.03,3.13,4.92,6.79,7.84,8.44,8.01,6.89,5.36,3.54,2.26,1.61,5.08
CLRSKY_SFC_SW_DWN,1990,2.01,3.17,5.0,6.66,8.02,8.41,8.05,6.86,5.29,3.67,2.29,1.67,5.1
CLRSKY_SFC_SW_DWN,1991,2.01,3.15,5.02,6.76,7.72,8.32,7.86,6.91,5.3,3.56,2.24,1.65,5.05
CLRSKY_SFC_SW_DWN,1992,2.02,3.19,5.0,6.7,7.96,8.31,7.88,6.87,5.28,3.57,2.28,1.7,5.07
CLRSKY_SFC_SW_DWN,1993,2.06,3.21,5.06,6.81,7.93,8.19,7.79,6.87,5.36,3.6,2.27,1.66,5.08
CLRSKY_SFC_SW_DWN,1994,2.02,3.14,4.94,6.62,7.98,8.51,8.01,6.87,5.26,3.63,2.3,1.72,5.09
CLRSKY_SFC_SW_DWN,1995,2.03,3.2,4.99,6.75,7.94,8.4,7.95,6.79,5.28,3.64,2.25,1.64,5.08
CLRSKY_SFC_SW_DWN,1996,2.0,3.21,5.03,6.81,7.89,8.52,8.1,6.86,5.27,3.62,2.24,1.7,5.11
CLRSKY_SFC_SW_DWN,1997,2.05,3.27,5.05,6.92,8.14,8.39,8.07,7.04,5.36,3.63,2.26,1.67,5.16
CLRSKY_SFC_SW_DWN,1998,2.02,3.23,5.03,6.86,8.08,8.64,8.16,7.1,5.45,3.64,2.31,1.69,5.19
CLRSKY_SFC_SW_DWN,1999,1.93,3.27,5.01,6.85,8.15,8.19,8.09,6.8,5.47,3.7,2.27,1.67,5.13
CLRSKY_SFC_SW_DWN,2000,2.02,3.26,5.05,6.86,8.06,8.51,8.01,6.91,5.41,3.64,2.27,1.68,5.14
CLRSKY_SFC_SW_DWN,2001,1.99,3.19,4.88,6.54,7.93,8.6,8.16,6.98,5.42,3.65,2.24,1.66,5.11
CLRSKY_SFC_SW_DWN,2002,1.98,3.22,4.93,6.67,7.97,8.51,8.16,7.02,5.42,3.68,2.26,1.63,5.13
CLRSKY_SFC_SW_DWN,2003,1.95,3.22,4.86,6.56,7.77,8.44,8.28,7.03,5.4,3.61,2.28,1.66,5.1
CLRSKY_SFC_SW_DWN,2004,1.97,3.19,4.9,6.71,7.83,8.53,8.08,6.94,5.37,3.62,2.23,1.65,5.09
CLRSKY_SFC_SW_DWN,2005,1.98,3.27,4.9,6.58,7.82,8.46,8.21,7.08,5.41,3.59,2.24,1.65,5.11
CLRSKY_SFC_SW_DWN,2006,1.96,3.24,4.89,6.61,7.94,8.43,8.19,7.02,5.41,3.66,2.25,1.64,5.11
CLRSKY_SFC_SW_DWN,2007,1.99,3.14,4.79,6.63,7.91,8.49,8.12,7.01,5.42,3.64,2.27,1.66,5.1
CLRSKY_SFC_SW_DWN,2008,2.01,3.16,4.9,6.63,7.77,8.52,8.06,6.86,5.28,3.57,2.18,1.66,5.05
CLRSKY_SFC_SW_DWN,2009,2.03,3.19,4.9,6.67,7.98,8.31,8.02,6.85,5.36,3.57,2.21,1.68,5.07
CLRSKY_SFC_SW_DWN,2010,1.94,3.15,4.85,6.58,7.93,8.49,8.28,6.94,5.35,3.63,2.25,1.66,5.1
CLRSKY_SFC_SW_DWN,2011,1.95,3.2,4.85,6.63,7.88,8.42,8.09,7.03,5.32,3.61,2.26,1.67,5.09
CLRSKY_SFC_SW_DWN,2012,1.98,3.16,4.92,6.59,7.92,8.42,8.02,6.95,5.3,3.64,2.22,1.64,5.07
CLRSKY_SFC_SW_DWN,2013,2.04,3.13,4.83,6.66,7.96,8.48,8.25,6.88,5.29,3.65,2.25,1.67,5.1
CLRSKY_SFC_SW_DWN,2014,1.98,3.18,4.89,6.62,7.86,8.49,8.2,6.83,5.39,3.6,2.29,1.66,5.09
CLRSKY_SFC_SW_DWN,2015,1.98,3.17,4.82,6.64,7.78,8.48,8.06,6.89,5.43,3.57,2.29,1.66,5.07
CLRSKY_SFC_SW_DWN,2016,1.97,3.13,4.94,6.62,7.92,8.5,8.12,7.04,5.42,3.58,2.21,1.69,5.1
CLRSKY_SFC_SW_DWN,2017,2.04,3.24,4.88,6.69,8.02,8.56,8.25,6.71,4.95,3.65,2.24,1.67,5.08
CLRSKY_SFC_SW_DWN,2018,1.96,3.21,4.92,6.57,7.91,8.46,8.16,6.57,5.37,3.65,2.25,1.66,5.07
CLRSKY_SFC_SW_DWN,2019,2.0,3.25,4.88,6.62,7.87,8.55,7.99,6.89,5.27,3.63,2.25,1.61,5.07
CLRSKY_SFC_SW_DWN,2020,1.95,3.21,4.95,6.74,7.95,8.47,8.1,7.0,4.64,3.56,2.24,1.65,5.04
ALLSKY_SFC_PAR_TOT,1984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1985,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1986,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1987,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1988,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1990,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1991,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1992,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1993,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1994,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1996,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1997,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1998,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,1999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_PAR_TOT,2001,20.2,41.81,54.01,73.81,107.71,103.45,115.27,95.16,75.55,39.91,20.15,15.66,63.69
ALLSKY_SFC_PAR_TOT,2002,16.17,35.98,48.2,77.2,92.15,114.16,118.5,109.58,80.62,48.07,24.66,13.45,65.03
ALLSKY_SFC_PAR_TOT,2003,19.62,38.75,48.67,69.09,96.38,117.21,132.42,108.56,79.28,39.38,24.79,14.06,65.83
ALLSKY_SFC_PAR_TOT,2004,16.72,33.83,55.76,95.19,87.9,120.87,120.66,97.66,68.48,42.93,23.0,15.3,64.9
ALLSKY_SFC_PAR_TOT,2005,19.45,47.18,56.85,74.96,92.67,97.78,120.38,109.57,78.43,37.09,20.71,16.16,64.37
ALLSKY_SFC_PAR_TOT,2006,14.85,37.8,53.51,79.72,103.34,112.03,121.54,108.99,81.74,48.18,17.24,14.88,66.31
ALLSKY_SFC_PAR_TOT,2007,21.39,30.09,49.3,75.27,106.86,104.37,114.97,95.69,70.31,38.42,23.84,13.4,62.18
ALLSKY_SFC_PAR_TOT,2008,20.59,34.37,49.5,74.62,88.31,101.17,117.19,92.05,78.87,41.84,21.09,14.55,61.24
ALLSKY_SFC_PAR_TOT,2009,21.5,36.92,52.93,81.83,106.54,112.44,124.3,92.75,77.65,39.84,20.64,19.55,65.73
ALLSKY_SFC_PAR_TOT,2010,16.56,35.55,56.74,70.26,90.25,96.41,122.77,100.53,62.14,44.33,20.95,15.09,61.16
ALLSKY_SFC_PAR_TOT,2011,17.73,32.18,46.44,70.67,87.93,96.99,108.88,105.02,75.87,39.02,22.29,17.17,60.17
ALLSKY_SFC_PAR_TOT,2012,16.69,31.55,49.12,75.59,100.47,90.31,109.42,106.16,85.73,42.15,20.23,12.21,61.73
ALLSKY_SFC_PAR_TOT,2013,20.15,30.56,53.86,74.18,95.68,108.49,129.11,96.47,62.54,47.53,24.04,17.11,63.54
ALLSKY_SFC_PAR_TOT,2014,20.23,33.35,53.05,80.56,98.73,108.39,125.6,103.48,76.66,40.58,25.49,17.44,65.48
ALLSKY_SFC_PAR_TOT,2015,21.56,35.74,58.2,85.77,101.34,133.43,124.47,102.55,72.39,39.75,24.5,12.79,67.84
ALLSKY_SFC_PAR_TOT,2016,19.79,32.21,53.38,86.96,101.09,114.53,107.57,107.88,75.98,33.12,20.41,16.59,64.19
ALLSKY_SFC_PAR_TOT,2017,22.97,32.04,43.73,68.59,103.52,111.73,134.12,109.52,71.03,48.23,17.43,18.1,65.33
ALLSKY_SFC_PAR_TOT,2018,16.65,35.46,57.52,69.79,108.23,105.08,130.67,96.52,74.42,45.27,24.31,15.63,65.17
ALLSKY_SFC_PAR_TOT,2019,21.76,32.57,68.23,74.45,103.66,115.4,104.55,98.57,62.1,46.3,28.21,12.7,64.23
ALLSKY_SFC_PAR_TOT,2020,15.32,36.23,59.04,87.85,97.46,107.16,118.05,111.28,68.26,45.31,21.77,16.45,65.45
CLRSKY_SFC_PAR_TOT,1984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1985,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1986,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1987,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1988,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1990,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1991,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1992,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1993,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1994,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1996,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1997,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1998,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,1999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
CLRSKY_SFC_PAR_TOT,2001,35.48,56.71,88.3,117.25,144.62,158.26,151.8,130.3,100.96,66.91,40.48,29.41,93.55
CLRSKY_SFC_PAR_TOT,2002,35.42,57.91,88.69,120.7,144.73,156.89,151.98,130.48,100.55,67.09,40.84,29.09,93.87
CLRSKY_SFC_PAR_TOT,2003,35.36,57.31,88.41,118.62,140.81,154.87,154.02,131.23,100.53,67.08,40.75,29.61,93.4
CLRSKY_SFC_PAR_TOT,2004,35.34,57.54,88.56,121.21,143.57,157.38,151.2,130.8,100.09,66.95,40.49,29.73,93.65
CLRSKY_SFC_PAR_TOT,2005,35.59,57.9,88.97,119.46,143.68,156.41,153.3,131.77,100.41,66.8,40.52,29.23,93.85
CLRSKY_SFC_PAR_TOT,2006,35.2,57.73,87.88,119.74,144.92,155.84,153.74,130.26,100.18,67.02,40.8,29.26,93.73
CLRSKY_SFC_PAR_TOT,2007,35.2,56.79,87.3,120.32,143.5,156.77,152.52,131.08,100.71,67.01,40.78,29.41,93.62
CLRSKY_SFC_PAR_TOT,2008,35.31,56.84,87.3,118.53,142.12,156.82,149.58,128.52,97.1,65.38,39.64,29.12,92.27
CLRSKY_SFC_PAR_TOT,2009,35.9,56.89,87.77,119.71,145.18,152.49,148.64,127.03,99.71,65.32,40.02,29.5,92.52
CLRSKY_SFC_PAR_TOT,2010,35.16,56.7,87.16,118.32,143.88,156.67,153.11,129.09,100.12,66.84,40.77,29.57,93.3
CLRSKY_SFC_PAR_TOT,2011,35.02,57.2,87.56,118.38,142.86,154.81,150.91,131.36,98.59,66.36,40.61,29.47,92.94
CLRSKY_SFC_PAR_TOT,2012,35.2,56.88,88.66,119.53,143.7,155.7,149.61,129.81,97.66,66.91,40.36,29.02,92.84
CLRSKY_SFC_PAR_TOT,2013,36.04,56.24,87.02,120.7,146.12,158.04,153.61,129.43,99.35,66.5,40.64,29.66,93.8
CLRSKY_SFC_PAR_TOT,2014,35.36,56.93,88.77,119.83,144.28,157.29,153.52,127.74,100.16,67.38,41.08,29.72,93.69
CLRSKY_SFC_PAR_TOT,2015,35.85,57.62,88.0,120.05,142.43,157.21,150.16,128.03,100.8,66.16,41.29,29.52,93.26
CLRSKY_SFC_PAR_TOT,2016,35.44,56.92,89.39,120.5,144.81,156.99,152.23,131.43,100.62,66.13,40.48,29.72,93.8
CLRSKY_SFC_PAR_TOT,2017,36.16,58.15,89.09,121.08,147.28,158.18,153.99,123.5,90.92,66.89,40.66,29.47,93.12
CLRSKY_SFC_PAR_TOT,2018,35.2,57.47,88.32,118.39,145.73,156.52,152.18,120.83,99.98,66.98,40.62,29.52,92.81
CLRSKY_SFC_PAR_TOT,2019,35.93,57.54,87.23,119.92,144.52,158.4,148.95,128.91,98.6,66.15,40.43,28.73,93.11
CLRSKY_SFC_PAR_TOT,2020,34.87,57.37,88.31,121.97,145.58,157.16,150.69,130.92,84.21,65.45,40.31,29.29,92.27
ALLSKY_SFC_UV_INDEX,1984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1985,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1986,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1987,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1988,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1989,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1990,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1991,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1992,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1993,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1994,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1996,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1997,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1998,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,1999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2001,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2002,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2003,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2004,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2006,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2007,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2009,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2010,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2011,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2012,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2013,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2014,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2015,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2016,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2017,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2018,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2019,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_UV_INDEX,2020,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
